Freq_Inf,Sim_inf_gnd_77,Freq_68mm,Sim_finite_gnd_68,Freq_82mm,Sim_finite_gnd_82,Freq_None,Meas_no_ground,Freq_PCB,Meas_PCB_ground
898.341708542713,-13.6945116910974,898.341708542713,-15.3778972760494,898.341708542713,-7.10518143015977,878.4102,-13.70148,946.2,-7.35880293160474
898.994974874372,-13.7610932340562,898.994974874372,-15.4451440448498,898.994974874372,-7.06910599326246,878.5993,-13.12984,947.5,-7.17299960455644
899.64824120603,-13.8258316093461,899.64824120603,-15.5106012660359,899.64824120603,-7.03338569706242,880.0147,-13.1371,948.8,-7.0038716041109
900.301507537689,-13.8886357489089,900.301507537689,-15.5741850271348,900.301507537689,-6.99801589961134,881.2872,-13.13057,950.1,-6.85874164479814
900.954773869347,-13.9494150156794,900.954773869347,-15.6358118691189,900.954773869347,-6.96299203904462,882.3371,-13.15944,951.4,-6.75613505528418
901.608040201005,-14.0080795860131,901.608040201005,-15.6953991237111,901.608040201005,-6.92830963178879,883.2973,-12.72644,952.7,-6.60746069688973
902.261306532663,-14.0645408513586,902.261306532663,-15.752865266739,902.261306532663,-6.89396427081945,884.3952,-12.35063,954,-6.467077773268
902.914572864322,-14.1187118365552,902.914572864322,-15.808130285311,902.914572864322,-6.85995162396769,884.5769,-11.93833,955.3,-6.3167911047077
903.56783919598,-14.1705076316643,903.56783919598,-15.8611160562077,903.56783919598,-6.82626743227338,885.5569,-12.00831,956.6,-6.20698300638779
904.221105527638,-14.2198458337857,904.221105527638,-15.9117467325147,904.221105527638,-6.79290750838412,886.5254,-12.0613,957.9,-6.09020842960725
904.874371859296,-14.2666469948832,904.874371859296,-15.9599491351787,904.874371859296,-6.7598677349978,887.8457,-11.73394,959.2,-5.98439702152852
905.527638190955,-14.3108350712511,905.527638190955,-16.00565314586,905.527638190955,-6.72714406334782,889.0617,-11.56445,960.5,-5.91990348315227
906.180904522613,-14.3523378699197,906.180904522613,-16.0487920971779,906.180904522613,-6.69473251172938,889.266,-11.25005,961.8,-5.85246232063599
906.834170854271,-14.3910874870328,906.834170854271,-16.0893031562394,906.834170854271,-6.66262916406539,890.8114,-11.40938,963.1,-5.76175106538949
907.48743718593,-14.4270207330372,907.48743718593,-16.1271276971815,907.48743718593,-6.63083016851096,892.5032,-11.43622,964.4,-5.67046910907703
908.140703517588,-14.4600795394395,908.140703517588,-16.1622116583806,908.140703517588,-6.59933173609507,893.641,-10.86643,965.7,-5.61042836031244
908.793969849246,-14.4902113418824,908.793969849246,-16.1945058799819,908.793969849246,-6.56813013939824,894.8282,-10.57493,967,-5.56783416499344
909.447236180904,-14.5173694344156,909.447236180904,-16.2239664174832,909.447236180904,-6.53722171126509,896.2311,-10.38829,968.3,-5.53091325270419
910.100502512563,-14.5415132900594,910.100502512563,-16.2505548272788,910.100502512563,-6.50660284355071,897.7528,-9.986515,969.6,-5.47294167191693
910.753768844221,-14.562608843098,910.753768844221,-16.27423842033,910.753768844221,-6.4762699858997,899.2739,-10.09193,970.9,-5.4119104625488
911.407035175879,-14.580628728987,911.407035175879,-16.2949904804694,911.407035175879,-6.44621964455688,900.3824,-9.923696,972.2,-5.33372631690603
912.060301507538,-14.5955524783075,912.060301507538,-16.3127904442757,912.060301507538,-6.4164483812087,900.4688,-9.555576,973.5,-5.26330238928688
912.713567839196,-14.6073666618342,912.713567839196,-16.3276240399491,912.713567839196,-6.38695281185443,901.6303,-9.644695,974.8,-5.24643662779382
913.366834170854,-14.6160649845006,913.366834170854,-16.339483383181,913.366834170854,-6.35772960570608,902.9472,-9.735162,976.1,-5.19957690071941
914.020100502513,-14.6216483268118,914.020100502513,-16.3483670286178,914.020100502513,-6.32877548411633,904.3543,-9.569521,977.4,-5.15779366402412
914.673366834171,-14.6241247330655,914.673366834171,-16.3542799761654,914.673366834171,-6.30008721953348,904.4691,-9.247756,978.7,-5.11349525316476
915.326633165829,-14.6235093465665,915.326633165829,-16.3572336320418,915.326633165829,-6.27166163448265,905.8392,-9.436548,980,-5.077987715446
915.979899497487,-14.6198242928416,915.979899497487,-16.357245725153,915.979899497487,-6.24349560057248,906.8155,-9.39985,NaN,NaN
916.633165829146,-14.6130985126529,916.633165829146,-16.3543401800156,916.633165829146,-6.21558603752646,907.8823,-9.409104,NaN,NaN
917.286432160804,-14.6033675473584,917.286432160804,-16.348546948072,917.286432160804,-6.18792991223826,909.4282,-9.448862,NaN,NaN
917.939698492462,-14.590673279845,917.939698492462,-16.3399017998188,917.939698492462,-6.16052423785016,911.5962,-9.467668,NaN,NaN
918.592964824121,-14.5750636348613,918.592964824121,-16.3284460806824,918.592964824121,-6.13336607285421,912.9264,-9.110338,NaN,NaN
919.246231155779,-14.5565922430779,919.246231155779,-16.3142264340259,919.246231155779,-6.10645252021511,914.5918,-9.138972,NaN,NaN
919.899497487437,-14.5353180736048,919.899497487437,-16.2972944950342,919.899497487437,-6.07978072651435,916.2878,-9.120678,NaN,NaN
920.552763819096,-14.511305039981,920.552763819096,-16.27770655951,920.552763819096,-6.05334788111502,917.5621,-9.058334,NaN,NaN
921.206030150754,-14.4846215848311,921.206030150754,-16.2555232318068,921.206030150754,-6.02715121534652,918.8207,-8.803892,NaN,NaN
921.859296482412,-14.4553402484457,921.859296482412,-16.2308090562329,921.859296482412,-6.00118800170875,920.5869,-8.689356,NaN,NaN
922.51256281407,-14.4235372265083,922.51256281407,-16.2036321362823,922.51256281407,-5.97545555309521,921.4064,-8.841378,NaN,NaN
923.165829145729,-14.3892919220474,923.165829145729,-16.1740637459874,923.165829145729,-5.9499512220343,922.9033,-8.839307,NaN,NaN
923.819095477387,-14.3526864964757,923.819095477387,-16.1421779375578,923.819095477387,-5.92467239994854,924.78,-9.227802,NaN,NaN
924.472361809045,-14.3138054242737,924.472361809045,-16.1080511492674,924.472361809045,-5.89961651643102,926.2849,-9.226219,NaN,NaN
925.125628140704,-14.272735055515,925.125628140704,-16.0717618172998,925.125628140704,-5.87478103853863,927.358,-9.261876,NaN,NaN
925.778894472362,-14.2295631900233,925.778894472362,-16.0333899949567,925.778894472362,-5.85016347010171,928.4474,-9.244978,NaN,NaN
926.43216080402,-14.1843786665056,926.43216080402,-15.9930169823013,926.43216080402,-5.82576135104944,929.3413,-9.226385,NaN,NaN
927.085427135678,-14.1372709695421,927.085427135678,-15.9507249689449,927.085427135678,-5.80157225675078,930.5239,-9.612538,NaN,NaN
927.738693467337,-14.0883298568422,927.738693467337,-15.9065966923087,927.738693467337,-5.77759379737035,932.0251,-9.370113,NaN,NaN
928.391959798995,-14.0376450087062,928.391959798995,-15.8607151133141,928.391959798995,-5.75382361723888,933.2385,-9.293126,NaN,NaN
929.045226130653,-13.9853057011758,929.045226130653,-15.8131631110735,929.045226130653,-5.73025939423794,934.8204,-9.309045,NaN,NaN
929.698492462311,-13.9314005039233,929.698492462311,-15.7640231977904,929.698492462311,-5.7068988391983,936.1176,-9.311514,NaN,NaN
930.35175879397,-13.8760170035222,930.35175879397,-15.7133772547265,930.35175879397,-5.68373969531191,937.2262,-9.321132,NaN,NaN
931.005025125628,-13.8192415523696,931.005025125628,-15.6613062897651,931.005025125628,-5.66077973755674,938.4091,-9.337979,NaN,NaN
931.658291457287,-13.761159043196,931.658291457287,-15.607890216803,931.658291457287,-5.63801677213452,940.2622,-9.017107,NaN,NaN
932.311557788945,-13.7018527088002,932.311557788945,-15.5532076569278,932.311557788945,-5.6154486359207,941.6903,-8.785474,NaN,NaN
932.964824120603,-13.6414039463916,932.964824120603,-15.4973357610979,932.964824120603,-5.59307319592646,943.0969,-8.575037,NaN,NaN
